scaffold1	scaffold2	connections
11323	20334	1
10762	13097	4
34329	50651	1
44125	45881	5
29486	29488	15
15958	24996	8
17541	54810	4
23528	4387	116
12434	3953	17
77237	77971	2
5764	5765	23
1373	31599	54
11348	8033	19
32301	58499	1
26621	69412	9
10524	7621	20
12670	14501	1
11620	11621	6
14725	24973	6
1558	16127	55
15545	46779	12
23059	66170	2
21221	24420	7
10229	44482	7
36722	46829	62
2087	40477	17
26725	744	5
20714	46592	2
13325	6450	93
13407	52164	5
14987	31715	5
71751	73739	1
12390	12391	64
34785	5111	2
26203	97240	1
25436	67449	2
17259	46617	8
37551	39590	3
14543	3766	8
54640	65874	2
57312	61957	11
14280	25587	1
11407	59922	3
82054	87231	1
14215	50248	3
37710	6668	9
18430	31073	8
12124	30123	1
1266	1778	69
74891	92393	1
10488	7155	1
12199	31395	1
18588	63406	6
10993	10994	8
4744	5207	3
94257	96573	2
47363	69236	2
11686	44330	2
13183	59458	3
38558	54018	1
11758	21268	11
14468	6293	4
25049	26963	5
34358	63339	7
20204	38083	7
15893	23542	39
106	17439	1
16150	786	1
37125	47903	2
21049	29352	6
3168	32796	3
1962	2104	2
40136	44738	1
5500	8688	1
509	605	90
15627	37114	78
12527	12587	66
28923	60034	5
12905	6172	7
11585	59417	10
13000	36559	14
26838	41092	16
12349	20524	101
32200	44617	1
38735	45586	19
15318	3510	4
18413	4856	8
36710	68742	1
77944	81466	2
91135	91136	1
70419	86471	3
21728	52412	2
1480	1804	5
65250	70017	1
56898	57119	1
1036	20372	2
16052	21319	4
13480	19234	1
37179	9079	1
35430	52064	9
4898	4949	11
6521	883	3
26550	3852	4
68389	73351	3
20275	54838	2
16859	47779	3
3993	5506	15
42324	53251	1
41148	7593	7
18803	8701	35
12844	26183	2
3957	7632	8
55787	55788	5
30430	47996	7
13976	3885	5
1242	1243	114
34546	53746	3
14119	29425	5
4056	5063	2
12589	2951	8
69314	73173	2
10521	13177	4
53722	54291	1
40309	60740	4
109	7755	137
91653	94686	1
80884	87396	2
76173	80994	1
14010	47509	6
66735	80443	2
41351	57942	5
89336	92237	4
47395	55792	1
36004	36005	47
30816	35589	1
36414	49061	2
76736	76737	1
53801	57804	9
95503	96701	1
47473	63244	108
37129	4080	1
22158	33973	7
19900	25912	3
12791	92673	1
18084	384	9
365	54824	2
19674	26599	8
56278	65591	1
20190	47279	3
64386	67902	5
16213	23892	6
14911	14912	2
54380	62073	2
21327	33704	26
25832	43125	3
6060	8085	2
5516	5524	15
42631	49576	4
12782	22038	23
93009	95162	1
26939	48283	5
24017	8929	40
22364	4687	18
1048	280	104
10405	29429	8
34239	43706	3
59209	59210	54
13358	20008	1
79307	81718	1
63815	75312	4
49326	7319	26
35224	42854	6
66683	91693	2
33373	49113	8
27092	46180	1
13315	21993	5
4073	9433	53
18751	54309	20
2167	4719	3
31666	37191	1
28659	35138	5
14263	19524	11
22346	7345	5
19529	40799	8
