scaffold1	scaffold2	connections
15698	7211	1
16859	47779	5
11906	5356	12
3912	8132	32
34311	69855	1
33841	48854	1
17455	1757	1
36053	8071	9
47907	57274	1
3957	7632	32
13549	30310	1
23645	28323	1
29989	3697	1
55787	55788	2
13976	3885	15
109	2248	79
19224	8143	3
28367	7571	1
1689	1947	3
14119	29425	1
5504	6037	3
28550	38891	6
16947	2029	2
19610	6766	1
29595	3032	3
18337	28013	1
3138	7132	1
21966	37538	1
22169	44291	2
13945	470	1
109	7755	55
24191	9778	4
35503	39037	1
23377	26366	2
12239	4992	1
30851	6910	4
47473	63244	4
25015	56563	1
10219	40844	3
37129	4080	1
11223	9291	1
20645	38476	2
19699	3127	1
15700	61029	1
19674	26599	6
23227	8237	1
32325	5225	4
18789	2710	1
19122	9040	1
3002	4936	2
42631	49576	2
32955	9791	6
24017	8929	1
10111	46172	1
36033	3958	1
31197	3847	3
11496	32335	1
18001	24983	1
33373	49113	2
16227	5793	2
18752	9263	1
20332	31500	3
10783	11924	1
34462	38272	1
31011	31032	9
4073	9433	5
22062	5673	1
2167	4719	5
26457	4587	2
12343	16227	1
37406	49427	3
4622	7875	1
42161	64119	1
52539	6219	2
22346	7345	7
31106	60510	1
12986	31421	1
6311	7110	5
1388	2600	76
27579	52546	1
21075	29231	1
10353	2297	29
376	8512	1
6876	6922	3
32011	6193	1
30453	5989	3
10969	3256	7
1083	2580	7
18600	57411	1
1050	6321	2
1665	486	1
36346	45449	3
5385	5864	1
1361	27954	2
27368	28049	3
21162	8185	12
11969	56464	1
38	494	1
1745	9762	47
55049	60223	1
31750	870	1
27196	31799	1
13747	2550	1
13737	803	1
23	24	9
1707	4430	1
3894	43887	1
35528	56455	1
4345	4990	6
18626	43518	1
22685	31172	4
26653	8586	2
11881	33433	1
1074	6266	42
19660	8077	1
3386	54766	2
17678	28732	1
22707	5919	16
10811	17809	1
10737	9416	11
5662	6248	1
53743	61367	1
15912	186	1
14553	21178	10
19728	22446	2
51992	52494	2
16655	38561	2
6157	8648	1
1883	9460	1
44353	930	1
17193	31244	7
57688	57689	1
11008	53237	1
27784	33490	1
21673	27563	1
24764	58120	2
11543	1181	20
30935	825	1
270	50306	1
4066	48656	4
24688	44723	4
38171	58603	1
36527	44389	1
166	68379	1
2339	26564	4
629	6437	1
12722	35073	4
11359	22403	1
1466	7623	5
14115	6336	4
3256	40595	1
10530	10531	2
37198	46164	1
12474	34365	1
14190	20665	16
8062	8943	12
1838	7207	1
10329	3939	1
17456	18328	2
17496	8360	1
3140	56112	3
52792	52793	1
2378	7572	2
25881	52351	1
32770	32771	1
40161	41318	1
36869	38217	1
39717	49091	1
13889	14036	3
14081	7510	1
23895	47658	2
26072	30367	5
1541	9080	43
14069	24517	2
1738	1739	13
20019	755	3
21668	32808	9
4130	6947	1
27762	30402	1
1997	26463	1
12587	6958	3
12990	8509	27
11159	16472	6
15364	7052	3
1303	20606	1
12579	13241	1
15237	329	1
11357	3546	1
1233	12657	3
3751	6269	16
24728	3033	1
1706	5743	3
21888	23137	1
47303	58193	1
2021	8226	1
11959	15337	29
13767	22039	1
21709	26511	1
19524	20	22
13744	19170	8
14598	16704	2
4807	52426	1
26112	46976	1
1380	3447	6
21090	27753	3
42963	4963	1
40874	5375	1
24082	5019	3
22673	280	7
40220	55619	3
17273	4941	4
43332	50599	1
18616	2671	3
24155	6234	1
10306	2419	10
16424	233	29
49422	662	1
29929	33142	1
36549	8987	1
9306	9307	6
44314	49984	1
16202	19191	1
22629	28906	11
5039	7009	1
18299	26939	2
1336	52341	1
17503	22884	1
25768	8989	13
26595	29048	13
56125	9816	2
18598	35569	2
2087	21887	2
16127	76507	1
11538	38616	3
28088	44792	1
11594	16492	22
65551	70992	1
252	7656	7
1242	3453	17
17578	42572	2
35693	41131	1
3556	4019	2
30628	32795	1
166	64795	1
16703	28849	1
10945	16809	1
24035	44698	1
49829	60974	3
29543	7950	2
42104	48805	1
8519	8602	1
41310	7515	2
17962	61053	1
10891	2780	14
31526	6992	2
53326	58100	1
1798	42376	1
376	926	1
22054	23027	1
14090	1439	1
11144	9292	1
44495	65723	2
35047	39191	4
22079	22080	3
21634	841	1
28090	7448	6
22219	6362	9
4611	48573	3
8526	8806	4
32784	8073	4
1217	16061	1
27082	48125	4
22587	41948	4
1435	9201	33
11622	38761	5
3837	464	1
24039	28001	1
181	4714	1
10337	4593	1
21390	30593	3
12419	9197	1
10996	2059	1
13189	7642	6
15485	38277	1
10080	14999	1
1347	1348	11
15073	19758	1
1085	8313	1
17280	8966	1
3101	46300	1
15213	19044	2
16995	4055	1
1261	49009	1
1425	1909	1
10986	21291	1
14119	18414	4
4762	61168	3
56020	76995	1
17803	3302	3
51579	51580	2
34944	39468	3
15007	45489	1
25104	2616	1
14799	16827	1
54939	8079	2
11204	12334	8
10011	5446	2
13321	6158	2
22465	5319	1
33853	4382	1
21666	27264	13
1300	18234	3
25534	42280	3
15940	63810	1
40444	4693	1
3714	3715	10
30217	9322	2
10813	6970	1
1331	23777	1
12579	9059	1
3248	42001	3
34110	40069	8
15552	35602	4
15262	53302	5
13219	4995	1
27168	56637	1
41413	56932	4
14580	3063	31
32432	9345	1
24437	26744	2
19374	28618	5
2691	9867	2
52017	6135	1
43191	43854	2
17628	34785	1
10328	24322	1
6063	6766	26
43818	53896	1
35549	48705	2
2378	4186	2
23093	36513	2
1905	6437	1
19405	31342	1
12465	20266	2
37807	37808	1
15217	2151	1
29208	42262	1
25864	3648	3
16634	282	1
43369	9842	2
40225	55569	3
2726	3815	16
39371	4673	26
2700	28092	1
15152	22017	1
3357	624	1
37688	9831	3
24939	38188	5
12944	27392	4
23421	52061	4
36397	50828	4
21594	38806	3
17942	3255	1
43563	60123	2
23059	977	1
2274	44768	3
17164	36520	3
28960	35867	5
18951	27989	14
6128	7755	1
36887	50193	5
39258	48531	2
1863	2911	2
21965	24351	2
1797	4427	1
13746	7679	1
26437	47629	1
33446	33447	1
1170	3123	34
5040	9357	19
19581	9029	16
41919	49552	2
2665	290	7
30994	9708	6
2796	3799	1
26793	6736	6
3979	46274	5
5012	6795	2
13765	6814	1
2636	3640	195
20209	5897	13
31112	43076	2
33828	36087	2
2589	26841	2
34736	46468	1
49242	65295	1
1819	27616	1
11834	896	6
18579	5323	1
21259	3069	1
4919	864	1
14685	6221	12
31018	46207	4
2378	8197	1
17696	17751	1
13308	4247	10
13506	39034	2
5927	9969	1
28183	8313	2
20699	48195	1
44991	7002	1
33701	33702	4
7596	8086	48
17639	3001	2
25846	29816	1
16585	27390	6
1983	3634	1
53259	9304	3
24537	49110	1
29582	32249	1
15859	251	1
21048	22288	5
1713	46726	1
21629	27620	4
11619	5007	22
3227	32609	4
23429	28884	1
8089	9124	8
2496	35975	1
49866	49867	1
11922	1874	1
13189	13750	1
19822	49462	1
38676	42165	5
28964	3703	1
13376	23871	1
11097	34132	4
54000	57791	3
26234	29496	2
3301	9958	1
