scaffold	phylum	count	all.phylum.assignments	class	all.class.assignments
20273	Deinococcus-Thermus	1	Deinococcus-Thermus	Deinococci	Deinococci
50086	Actinobacteria <phylum>	1	Actinobacteria <phylum>	Actinobacteria	Actinobacteria
62049	Proteobacteria	2	Proteobacteria;Proteobacteria	Alphaproteobacteria	Alphaproteobacteria;Alphaproteobacteria
42484	Bacteroidetes/Chlorobi group	1	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes
6445	Proteobacteria	6	Proteobacteria;Proteobacteria;Proteobacteria;Proteobacteria;Proteobacteria;Proteobacteria	NA	NA
80934	Bacteroidetes/Chlorobi group	1	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes
26170	Nitrospirae	1	Nitrospirae	Nitrospira <class>	Nitrospira <class>
4738	unclassified Bacteria	2	unclassified Bacteria;unclassified Bacteria	candidate division TM7	candidate division TM7;candidate division TM7
5432	unclassified Bacteria	6	NA;Firmicutes;unclassified Bacteria;unclassified Bacteria;unclassified Bacteria;unclassified Bacteria	candidate division TM7	NA;Clostridia;candidate division TM7;candidate division TM7;candidate division TM7;candidate division TM7
29456	Nitrospirae	1	Nitrospirae	Nitrospira <class>	Nitrospira <class>
76680	Alveolata	1	Alveolata	Ciliophora	Ciliophora
88548	Proteobacteria	2	Proteobacteria;Proteobacteria	Alphaproteobacteria	Alphaproteobacteria;Alphaproteobacteria
13505	Bacteroidetes/Chlorobi group	1	Bacteroidetes/Chlorobi group	NA	NA
675	Proteobacteria	2	Proteobacteria;Proteobacteria	Alphaproteobacteria	Alphaproteobacteria;Alphaproteobacteria
50151	Proteobacteria	1	Proteobacteria	Betaproteobacteria	Betaproteobacteria
79543	Bacteroidetes/Chlorobi group	4	Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes;Bacteroidetes;Bacteroidetes;Bacteroidetes
63512	Bacteroidetes/Chlorobi group	1	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes
67278	Proteobacteria	2	Proteobacteria;Proteobacteria	Gammaproteobacteria	Gammaproteobacteria;Gammaproteobacteria
68998	Bacteroidetes/Chlorobi group	1	Bacteroidetes/Chlorobi group	NA	NA
431	Actinobacteria <phylum>	12	Actinobacteria <phylum>;Actinobacteria <phylum>;Actinobacteria <phylum>;Actinobacteria <phylum>;Actinobacteria <phylum>;Actinobacteria <phylum>;Actinobacteria <phylum>;Actinobacteria <phylum>;Actinobacteria <phylum>;Actinobacteria <phylum>;Actinobacteria <phylum>;Actinobacteria <phylum>	Actinobacteria	Actinobacteria;Actinobacteria;Actinobacteria;Actinobacteria;Actinobacteria;Actinobacteria;Actinobacteria;Actinobacteria;Actinobacteria;Actinobacteria;Actinobacteria;Actinobacteria
12813	Actinobacteria <phylum>	4	Actinobacteria <phylum>;Actinobacteria <phylum>;Actinobacteria <phylum>;Actinobacteria <phylum>	Actinobacteria	Actinobacteria;Actinobacteria;Actinobacteria;Actinobacteria
2855	Proteobacteria	3	Proteobacteria;Proteobacteria;Proteobacteria	Gammaproteobacteria	NA;NA;Gammaproteobacteria
36936	Proteobacteria	2	NA;Proteobacteria	Betaproteobacteria	NA;Betaproteobacteria
14873	Bacteroidetes/Chlorobi group	1	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes
85382	Proteobacteria	1	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria
139	Proteobacteria	1	Proteobacteria	NA	NA
93558	Proteobacteria	1	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria
